name,price,delivery_price,rating,seller,seller_rating,delivery_rating,stock
"Viral Silvertek - 3000W Multiplug with C-Type Port, 3 USB Port & 6 charging port | Hot & Trendy item | Hot selling",Rs. 689,Rs. 70,3.8,Crazy NepDeals,91%,100%,15
Tws Wireless Bluetooth Airbuds Charging Case Super Sound Top Selling,Rs. 599,Rs. 70,3.8,Dashain Dhamaka,85%,100%,15
46 In 1 Piece Tool Kit and Screwdriver and Socket Set,Rs. 869,Rs. 70,3.8,city  shop,82%,98%,15
Smartwatch Strap For  Size 49mm 45mm 44mm 42mm,Rs. 99,Rs. 70,4.2,Dashain Dhamaka,85%,100%,15
TWS I12 Earbuds | 12 Hours Playtime | 10 mm Deep Bass Wireless Earbuds,Rs. 471,Rs. 70,4.2,Raj Corner,74%,91%,9
Vintage T-9 Hair Trimmer Battery Removable For Male,Rs. 580,Rs. 70,4.2,Dashain Dhamaka,85%,100%,14
Dr.Rashel Vitamin C Face Serum 50 ml,Rs. 299,Rs. 70,0,Ecommerce mall,86%,100%,15
Pack Of 2 High Waist Quarter Leggings For Women- Black,Rs. 645,Rs. 70,0,DeepaLadiesCollection,85%,100%,3
"Storage Box Foldable Clothing Storage Bag for Clothes, Blanket, Comforter, Under Bed Storage - Storage Bags",Rs. 489,Rs. 70,0,PlyBuy,80%,98%,5
Baby Sensitive Wipes 90 piece Simba Baby Aloe and Chamomile 550 Gram Each Packet,Rs. 75,Rs. 70,0,Dashain Dhamaka,85%,100%,9
Tws Wireless Bluetooth Airbuds Charging Case Super Sound,Rs. 699,Rs. 70,0,Dashain Dhamaka,85%,100%,4
Pal Pal Jaiphal Oil TM Regd.Original Pain Relief and Refreshment Massage Oil 200 ml,Rs. 389,Rs. 70,0,Dashain Dhamaka,85%,100%,8
Jaiphal Oil 1 Pcs Pain Relief Massage Oil 100ml,Rs. 240,Rs. 70,0,Dashain Dhamaka,85%,100%,1
Electric Shock Joke Chewing Gum Pull Head Shocking Toy Gift Gadget Prank Trick Gag Funny Tricky ST,Rs. 135,,0,Kik Nepal Enterprises,84%,87%,0
T900 Ultra Smart Watch For Unisex,Rs. 899,Rs. 70,0,Dashain Dhamaka,85%,100%,3
